order_id,customer_id,product_id,category,price,quantity,order_date,shipping_date,delivery_status,payment_method,device_type,channel,shipping_address,billing_address,customer_segment,Revenue,Shipping_Days,Order_month
c8499186-5e1b-4f96-a3cd-e89d7f6ba1cb,1,102,Home,439.65,9,20-07-2024,27-07-2024,Delivered,Debit Card,Mobile,Email,"2972 Fernandez Mews Suite 067, Davidport, Indiana 79178","280 Jennifer Way Apt. 951, South Joshuaborough, Kentucky 67585",VIP,204.58,7,2024-07
ee10f6a3-556c-4a75-80b4-95a6e04b4f34,1553,603,Toys,469.36,9,20-05-2024,24-05-2024,Shipped,Google Pay,Desktop,Organic,"833 Nicole Mount Suite 313, West William, New Jersey 38445","1766 Sullivan Spurs Suite 146, Hooperfurt, Nebraska 23458",VIP,77.96,4,2024-05
3d5b679d-a06e-4eb8-b5a8-82aa2394a40b,774,832,Beauty,441.94,9,17-07-2024,20-07-2024,Delivered,Google Pay,Tablet,Paid Search,"5805 Downs River Apt. 814, Lake Andrewmouth, Wisconsin 39192","08529 Cody Ranch, Spencerfort, South Dakota 35425",Returning,198.1,3,2024-07
8834ffee-80bd-48e6-a475-d69eabf5912a,27,496,Toys,347.62,9,13-11-2024,15-11-2024,Delivered,Google Pay,Mobile,Paid Search,"82201 Ho Manor, North Lori, Arizona 41512","2896 Juan Passage, Port Christina, Kansas 63146",VIP,440.02,2,2024-11
e1507734-cc96-4f69-bc99-d03f8ad80e13,708,551,Books,118.26,8,12-08-2024,19-08-2024,Delivered,Credit Card,Desktop,Organic,"3155 Katherine Garden Suite 198, West Laurie, Hawaii 11592","2098 Barrett Forest, Roberthaven, Nevada 41082",VIP,254.86,7,2024-08
95c36d55-2aea-485b-8e7b-a35e4f255d7f,1143,911,Clothing,6.06,8,17-08-2024,23-08-2024,Returned,Apple Pay,Mobile,Social,"197 Emily Orchard, East Dennistown, New Jersey 77978","9339 Andrew Shores, Martinburgh, Vermont 25116",VIP,263.1,6,2024-08
84663696-6507-4086-94db-7e8192c1e31b,1885,160,Toys,160.17,8,11-09-2024,16-09-2024,Delivered,Debit Card,Desktop,Organic,"48018 Scott Inlet Suite 617, Craigchester, North Dakota 23073","09213 Sandy River, Riddlemouth, Oregon 01140",Returning,312.02,5,2024-09
a8c7fe8a-6eec-45cf-aec1-344c284ebeb0,2196,979,Clothing,72.17,8,20-06-2024,24-06-2024,Shipped,Debit Card,Desktop,Organic,"40494 Kennedy Plains, Richardhaven, North Dakota 62095","27700 Marie Squares Suite 435, Onealtown, Virginia 96288",Returning,145.4,4,2024-06
782d0916-dba4-488c-864d-385da8f21dc3,1437,372,Toys,148.01,8,14-02-2025,17-02-2025,Shipped,Credit Card,Mobile,Email,"35996 Gabriel Islands Apt. 951, Lake Michele, Nevada 41286","76368 Robert Motorway Apt. 289, New John, Ohio 53829",New,894.84,3,2025-02
5ba77ab6-a266-4039-91db-9f243df6fc4c,1042,700,Beauty,376.87,7,05-11-2024,12-11-2024,Delivered,Credit Card,Mobile,Organic,"9809 Jennifer Parkways, East Elizabethville, Maine 51526","01771 Gillespie Springs Apt. 770, Petersberg, West Virginia 45497",VIP,423.75,7,2024-11
4d389821-19d4-4a92-83b8-bfa56ad7d240,141,672,Toys,414.64,7,23-03-2025,29-03-2025,Delivered,Debit Card,Mobile,Email,"0840 Gallegos Knoll, South Jenniferport, Maine 03457","16032 Thornton Cliff, Fernandezfurt, Nebraska 66751",VIP,1320.3,6,2025-03
7a7da4ed-063d-4eb0-945f-5fd3177fc579,37,971,Home,380.13,7,23-03-2025,29-03-2025,Delivered,Credit Card,Desktop,Paid Search,"301 Justin Tunnel, Nicholasville, Mississippi 47757","9886 Cheryl Turnpike Apt. 338, East Henrymouth, Oregon 12375",VIP,1312.29,6,2025-03
03a02cdd-75c6-4de9-8e8b-fbf1fa9aa7ae,1644,293,Books,423.24,7,26-04-2024,02-05-2024,Delivered,Debit Card,Tablet,Paid Search,"8144 Jeremy River Suite 580, East Jill, Oregon 26914","11877 Brandon Trace, Andrewsshire, North Carolina 99014",Returning,24.14,6,2024-04
a1272504-b9ee-4cd3-a90a-160a96babc39,154,452,Home,317.79,7,02-11-2024,07-11-2024,Delivered,Google Pay,Desktop,Organic,"32992 Bowers Brook Suite 106, South Peterville, Maine 49932","007 Andersen Circle Apt. 127, Rickmouth, North Dakota 93611",VIP,417.2,5,2024-11
4c6520bb-1e87-44f4-ac6c-3518c1c0245e,1279,618,Clothing,215.62,7,12-09-2024,17-09-2024,Returned,Google Pay,Tablet,Organic,"30691 Lisa Ramp, Christopherport, Nevada 04785","47066 Joseph Square, Hollyfort, Kansas 23885",Returning,314.48,5,2024-09
3dd825da-b0c3-4490-b50b-71c3e673c462,1829,377,Electronics,391.08,7,06-05-2024,11-05-2024,Delivered,PayPal,Tablet,Social,"0469 Hudson Falls Suite 594, Andersonview, Kentucky 70619","028 Johnson Ville Apt. 621, Lake Cindy, Minnesota 45589",New,49.66,5,2024-05
079f5e1d-4fd9-43b2-9055-1a99d0a72abe,2770,946,Clothing,44.9,7,15-04-2025,19-04-2025,Delivered,Google Pay,Mobile,Email,"2425 Eric Street, Josephburgh, Minnesota 66139","02386 Kenneth Cliff, Lake Tanner, Missouri 48925",Returning,1999.72,4,2025-04
38853859-dd93-4318-abf1-ff9e87ff8cf9,1281,966,Books,298.63,7,06-01-2025,10-01-2025,Delivered,PayPal,Mobile,Organic,"67590 Sheila Lodge, Port Robin, Illinois 45980","0294 Vincent Lakes Suite 628, Roberttown, Arizona 72889",Returning,669.8,4,2025-01
db4ff462-5cb1-4b5d-9c73-48d87bfb56fa,1010,337,Home,366.17,7,25-11-2024,29-11-2024,Delivered,PayPal,Mobile,Organic,"14860 April Valley, East Richard, West Virginia 40867","99043 Harris Points, South Danielberg, Georgia 76624",Returning,467.51,4,2024-11
11a51ae2-0812-42f7-b7cb-d18279dc082e,1999,5,Beauty,120.43,7,08-09-2024,12-09-2024,Returned,PayPal,Desktop,Paid Search,"55988 Hannah Turnpike, Walkerhaven, Arizona 32017","1952 Williams Shores, New Franciscoside, Virginia 14162",VIP,307.23,4,2024-09
f890d0c6-fbb1-46b1-9dd9-bf308d7d7a46,649,642,Toys,82.05,7,25-02-2025,28-02-2025,Delivered,Credit Card,Desktop,Email,"60189 Gregory Fall Suite 009, Brianberg, Minnesota 45364","128 Matthew Loaf, Lake Jacobton, Kentucky 31271",VIP,963.58,3,2025-02
572b03eb-784e-427d-85a5-5ad14be66a5b,2530,720,Toys,268.03,7,24-02-2025,27-02-2025,Delivered,Apple Pay,Desktop,Paid Search,"0069 Aguilar Vista Apt. 219, Port David, Rhode Island 30941","24781 Luis Key, Brandystad, Ohio 51731",Returning,955.28,3,2025-02
4bd2b688-c733-4e68-9db6-c4c72457c9f8,2286,586,Clothing,10.94,7,23-01-2025,26-01-2025,Delivered,Google Pay,Desktop,Paid Search,"17225 Mercer Shore Apt. 425, West Kevin, Vermont 22230","04287 David Camp, New Prestonport, Indiana 96155",Returning,776.94,3,2025-01
e754609b-3d84-4cf4-922e-4bd21f964ea5,348,682,Books,227.6,7,24-10-2024,27-10-2024,Pending,Credit Card,Desktop,Social,"270 Ortiz Loop Apt. 327, Lanebury, Kansas 36558","135 Baxter Run, Emilyfort, Connecticut 16285",VIP,401.52,3,2024-10
4e06f311-cc5b-42e9-8fca-ae0d01bb3755,24,243,Toys,344.65,7,25-08-2024,28-08-2024,Delivered,Google Pay,Tablet,Social,"351 Allison Isle Apt. 912, New James, Texas 32154","204 Thomas Hollow, West Tami, Alaska 49496",VIP,279.62,3,2024-08
fbe80414-109a-4b80-b2e7-a6b5c3aee1a4,443,759,Toys,389.43,7,02-08-2024,05-08-2024,Delivered,Debit Card,Mobile,Email,"584 Carey Harbor Suite 078, Lake Joelchester, South Dakota 77980","5303 Emily Knoll, Hodgefurt, New Hampshire 28536",VIP,233.42,3,2024-08
6592f685-07c3-4c1c-b935-c131c1f1416b,571,427,Electronics,341.82,7,14-07-2024,17-07-2024,Shipped,Debit Card,Tablet,Social,"04274 Michael Spring, Camposmouth, Pennsylvania 61415","5980 Green Curve Apt. 573, Robertton, Arizona 87218",Returning,192.94,3,2024-07
b5c8d5b7-35c1-4da8-8b9c-5414a4098b9e,35,70,Home,48.43,7,14-10-2024,16-10-2024,Delivered,PayPal,Desktop,Social,"887 Mikayla Trail, Lake Christinamouth, South Dakota 81464","04764 James Ramp Apt. 216, New Patrick, Wyoming 91071",VIP,382.2,2,2024-10
d5e1aa72-ef7e-4a12-b41f-58a451969ab5,885,321,Books,383.16,7,18-05-2024,20-05-2024,Delivered,Apple Pay,Mobile,Paid Search,"78149 Heidi Plains, West Jeremyton, New Jersey 72011","257 Sarah Expressway, South Donald, Louisiana 60482",VIP,74.81,2,2024-05
4f73e2d9-a392-446e-aea4-b73ed5f11f1c,157,87,Clothing,235.96,7,11-11-2024,12-11-2024,Delivered,PayPal,Mobile,Organic,"079 Samantha Ranch Suite 676, Christinebury, Tennessee 84960","2059 Allison Streets, Penaland, Nebraska 39087",VIP,434.6,1,2024-11
b929f430-aea0-44f7-adcd-b579748f2ea4,116,162,Clothing,322.73,7,20-10-2024,21-10-2024,Shipped,Google Pay,Desktop,Email,"898 Katherine Mountains Apt. 478, South Marcuston, California 80379","6975 Harris Crossroad Apt. 587, Baileyton, Wyoming 99431",VIP,394.04,1,2024-10
dda193aa-82d4-4e2d-8266-9180015fcea0,2597,697,Beauty,174.44,7,12-08-2024,13-08-2024,Delivered,Credit Card,Tablet,Paid Search,"620 Nicole Lakes, New Latoyabury, Georgia 93222","283 Baldwin Street Apt. 430, Hickmanborough, Washington 46624",Returning,253.64,1,2024-08
a6c0029d-20dc-43ae-9574-b5e427d0b0dc,78,590,Home,127.1,6,18-04-2025,25-04-2025,Shipped,PayPal,Tablet,Email,"4616 William Branch Apt. 051, Youngfort, Maine 76947","077 Jackson Land Apt. 478, South Katherine, Florida 53884",VIP,2384.15,7,2025-04
73aef3aa-2bc6-435e-8ec0-dd84080eec2a,2557,295,Home,19,6,16-04-2025,23-04-2025,Delivered,Debit Card,Tablet,Paid Search,"185 Kerry Light, Robertshaven, New Hampshire 70674","2156 Bruce Mountains Apt. 891, Lake Ronald, Hawaii 36546",VIP,2088.55,7,2025-04
eba66877-3605-40d7-a5d1-4c0f7158fc81,9,803,Toys,146.39,6,20-03-2025,27-03-2025,Delivered,Apple Pay,Tablet,Social,"0095 Veronica Union Suite 906, Stevenfurt, Iowa 38101","62969 Michael Skyway, Cunninghammouth, Nevada 92933",VIP,1266.65,7,2025-03
3718ab18-756f-4332-a193-3ca98598b6c4,1418,449,Electronics,489.72,6,22-02-2025,01-03-2025,Shipped,PayPal,Desktop,Paid Search,"0314 Theresa Groves Suite 610, Johnstad, Virginia 11600","54865 Ramos Via, Nicholasside, Colorado 06797",VIP,941.48,7,2025-02
731839eb-85d2-4622-b8fa-28cc99e3e2d6,143,104,Clothing,190.24,6,07-02-2025,14-02-2025,Returned,Google Pay,Desktop,Social,"260 Tina Street Apt. 132, Claytonville, Florida 45193","432 Taylor Islands Suite 417, Brianview, Indiana 88146",VIP,856.64,7,2025-02
a1e011e0-732d-483b-afe8-bf9b832b79c7,14,799,Home,338.13,6,14-01-2025,21-01-2025,Delivered,Credit Card,Tablet,Organic,"92053 Katherine Road, South Daniel, South Dakota 24260","86539 Timothy Ports Suite 724, New Ashley, Utah 43185",VIP,724.22,7,2025-01
a1b4b98b-5f0c-475d-af23-3e6e7f11718a,2358,848,Electronics,85.28,6,13-01-2025,20-01-2025,Shipped,Apple Pay,Tablet,Social,"73754 Ray Vista Apt. 764, Port Nicole, Wisconsin 11529","560 Williamson Shore, Paynemouth, Nebraska 16895",Returning,718.06,7,2025-01
695bf79b-19b0-4798-9285-02e6f87277a7,2736,734,Clothing,188.17,6,05-12-2024,12-12-2024,Delivered,Credit Card,Mobile,Paid Search,"79733 Daniel Turnpike, Andrewport, Montana 08802","451 Chad Lodge Apt. 997, West Shannon, Mississippi 70591",Returning,491.92,7,2024-12
a0df2e38-5373-4637-832e-98c667528a7b,2921,954,Toys,224.8,6,28-11-2024,05-12-2024,Shipped,PayPal,Mobile,Email,"44680 Rios Stravenue, South Jenna, Washington 06462","6034 Francis Causeway Apt. 915, New Timothy, West Virginia 51920",Returning,477.18,7,2024-11
